job_id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,required_skills,certifications,posting_date,current_job_openings,required_qualifications,industry_demand,hiring_trends,candidate_profiles,recruitment_timelines
15,2022,EX,FT,Head of Information Security,290000,USD,290000,US,100,US,L,Network Security,None,2022-01-15,27,Bachelor's Degree,High,Stable,Entry-Level,Fast
16,2021,EX,FT,Head of Information Security,232000,USD,232000,US,100,US,L,"Python, Security+",AWS Security,2022-01-16,22,Master's Degree,Low,Growing,Experienced,Slow
17,2022,EX,FT,Head of Information Security,244000,USD,244000,US,100,US,L,Network Security,None,2022-01-17,66,Experience-Based,Medium,Stable,Mixed,Moderate
18,2022,EN,FT,Security Incident Response Engineer,112000,USD,112000,US,100,US,L,None,CEH,2022-01-18,66,Certification Only,High,Stable,Experienced,Moderate
19,2022,EN,FT,Cyber Security Analyst,72000,USD,72000,US,100,US,L,"AWS, Kubernetes",None,2022-01-19,42,Certification Only,Medium,Stable,Experienced,Fast
20,2022,SE,FT,Ethical Hacker,60000,EUR,64955,NL,50,NL,M,Network Security,AWS Security,2022-01-20,71,Master's Degree,High,Stable,Mixed,Moderate
21,2020,EN,FT,Cyber Security Analyst,450000,INR,6072,IN,50,IN,L,"Python, Security+",CEH,2022-01-21,42,Bachelor's Degree,Low,Declining,Entry-Level,Fast
22,2021,MI,FT,Cyber Security Consultant,45000,EUR,53192,NL,100,NL,L,None,AWS Security,2022-01-22,71,Master's Degree,Medium,Stable,Entry-Level,Slow
23,2022,EX,FT,Chief Information Security Officer,109000,EUR,118002,DE,100,DE,M,Network Security,None,2022-01-23,98,Master's Degree,Medium,Growing,Experienced,Moderate
24,2022,MI,FT,DevSecOps Engineer,152000,USD,152000,US,0,US,M,"AWS, Kubernetes",AWS Security,2022-01-24,65,Master's Degree,High,Stable,Mixed,Slow
25,2022,MI,FT,DevSecOps Engineer,91000,USD,91000,US,0,US,M,"AWS, Kubernetes",AWS Security,2022-01-25,5,Master's Degree,High,Stable,Entry-Level,Moderate
26,2022,SE,FT,IT Security Manager,120000,EUR,129910,DE,50,DE,L,"Azure, SOC",CISSP,2022-01-26,98,Experience-Based,High,Declining,Entry-Level,Moderate
27,2022,MI,FT,Application Security Engineer,207000,USD,207000,US,100,US,L,"Azure, SOC",None,2022-01-27,49,Experience-Based,Medium,Stable,Entry-Level,Slow
28,2022,EX,FT,Chief Information Security Officer,300000,USD,300000,AE,50,AE,L,"Python, Security+",None,2022-01-28,32,Bachelor's Degree,Low,Declining,Experienced,Moderate
29,2022,MI,FT,Vulnerability Analyst,115000,USD,115000,US,100,US,L,Network Security,AWS Security,2022-01-29,25,Master's Degree,Low,Growing,Mixed,Slow
30,2022,SE,FT,Cyber Security Engineer,126700,CAD,99397,CA,100,CA,L,Network Security,CISSP,2022-01-30,17,Experience-Based,High,Declining,Experienced,Slow
31,2022,EN,FT,Information Security Analyst,52000,USD,52000,US,100,US,L,"Azure, SOC",None,2022-01-31,31,Bachelor's Degree,Low,Stable,Entry-Level,Fast
32,2022,SE,FT,Principal Application Security Engineer,237000,USD,237000,US,100,US,L,Network Security,CEH,2022-02-01,11,Master's Degree,High,Growing,Mixed,Slow
33,2021,EN,FT,Cyber Security Architect,150000,USD,150000,US,50,US,M,Network Security,AWS Security,2022-02-02,26,Certification Only,Low,Stable,Experienced,Fast
34,2022,SE,FT,Information Security Manager,110000,USD,110000,US,0,US,L,"AWS, Kubernetes",None,2022-02-03,78,Experience-Based,Medium,Declining,Entry-Level,Slow
35,2022,EN,FT,SOC Analyst,104000,USD,104000,US,100,US,L,"Azure, SOC",CEH,2022-02-04,57,Bachelor's Degree,High,Growing,Entry-Level,Moderate
36,2021,EN,FT,SOC Analyst,75000,USD,75000,US,0,US,M,None,None,2022-02-05,83,Certification Only,Low,Growing,Experienced,Slow
37,2022,SE,FT,DevSecOps Engineer,165000,USD,165000,US,100,US,L,"Azure, SOC",CEH,2022-02-06,83,Master's Degree,Medium,Declining,Entry-Level,Moderate
38,2022,SE,FT,Penetration Tester,190000,USD,190000,US,100,US,L,None,AWS Security,2022-02-07,8,Master's Degree,Low,Declining,Entry-Level,Fast
39,2022,SE,FT,Cyber Threat Intelligence Analyst,135000,USD,135000,US,100,US,L,"AWS, Kubernetes",None,2022-02-08,27,Master's Degree,Medium,Growing,Mixed,Moderate
40,2022,MI,FT,Cloud Security Engineer,150000,CAD,117676,CA,100,CA,L,"Python, Security+",None,2022-02-09,74,Experience-Based,Medium,Growing,Entry-Level,Slow
41,2022,MI,FT,Information Security Officer,97900,USD,97900,US,50,US,L,Network Security,CISSP,2022-02-10,92,Bachelor's Degree,Low,Declining,Experienced,Moderate
42,2022,SE,FT,IT Security Analyst,90000,USD,90000,US,100,US,S,"AWS, Kubernetes",AWS Security,2022-02-11,88,Certification Only,Low,Stable,Mixed,Fast
43,2021,SE,FT,Security Consultant,175000,USD,175000,US,100,US,L,Network Security,CEH,2022-02-12,88,Bachelor's Degree,Medium,Growing,Experienced,Moderate
44,2022,MI,FT,Cyber Security Analyst,89998,USD,89998,US,0,US,L,"Python, Security+",None,2022-02-13,80,Experience-Based,Medium,Declining,Entry-Level,Moderate
45,2022,MI,FT,Information Security Specialist,150000,USD,150000,US,100,US,L,"Python, Security+",None,2022-02-14,37,Bachelor's Degree,Medium,Stable,Mixed,Slow
46,2022,MI,FT,Security Analyst,115000,USD,115000,US,100,US,L,"AWS, Kubernetes",CEH,2022-02-15,32,Experience-Based,High,Growing,Mixed,Slow
47,2022,MI,FT,Information Security Officer,135000,USD,135000,US,50,US,L,"Python, Security+",AWS Security,2022-02-16,12,Master's Degree,Medium,Growing,Mixed,Moderate
48,2022,EX,FT,Information Security Manager,102000,USD,102000,US,50,US,L,None,CISSP,2022-02-17,5,Certification Only,High,Declining,Mixed,Fast
49,2022,SE,FT,Penetration Tester,108000,USD,108000,US,100,US,L,"Python, Security+",CISSP,2022-02-18,41,Master's Degree,Medium,Stable,Experienced,Moderate
50,2022,SE,FT,Cyber Security Consultant,200000,USD,200000,US,100,US,M,Network Security,None,2022-02-19,67,Bachelor's Degree,High,Growing,Entry-Level,Fast
51,2022,EN,FT,SOC Analyst,85000,CHF,89676,CH,50,CH,L,Network Security,CEH,2022-02-20,26,Master's Degree,Medium,Stable,Entry-Level,Fast
52,2022,EN,FT,Cyber Security Analyst,50000,USD,50000,US,0,US,S,Network Security,None,2022-02-21,74,Certification Only,Medium,Stable,Mixed,Fast
53,2022,SE,FT,DevSecOps Engineer,157000,USD,157000,US,0,US,M,Network Security,CEH,2022-02-22,25,Master's Degree,Medium,Growing,Entry-Level,Moderate
54,2022,SE,FT,DevSecOps Engineer,108000,USD,108000,US,0,US,M,None,CISSP,2022-02-23,39,Certification Only,Low,Stable,Experienced,Fast
55,2022,EX,FT,Director of Information Security,148000,USD,148000,US,0,US,L,"Azure, SOC",AWS Security,2022-02-24,83,Certification Only,Low,Growing,Entry-Level,Moderate
56,2022,MI,FT,Security Engineer,130000,USD,130000,US,0,US,M,"AWS, Kubernetes",CEH,2022-02-25,9,Master's Degree,Medium,Stable,Experienced,Fast
57,2022,MI,FT,Security Engineer,120000,USD,120000,US,0,US,M,Network Security,CISSP,2022-02-26,64,Experience-Based,High,Growing,Experienced,Fast
58,2022,MI,FT,Information Security Compliance Lead,450000,DKK,65475,DK,50,DK,L,"Python, Security+",None,2022-02-27,50,Bachelor's Degree,High,Declining,Entry-Level,Moderate
59,2022,SE,FT,Threat Hunter,150000,USD,150000,US,100,CH,L,Network Security,CEH,2022-02-28,54,Experience-Based,Medium,Growing,Experienced,Slow
60,2022,EN,FT,Cloud Security Engineer,500000,INR,6522,IN,100,IN,L,"Python, Security+",AWS Security,2022-03-01,52,Experience-Based,Low,Growing,Experienced,Slow
61,2022,SE,FT,Threat Intelligence Analyst,184800,USD,184800,US,100,US,M,"Python, Security+",None,2022-03-02,10,Master's Degree,High,Growing,Experienced,Moderate
62,2022,SE,FT,Threat Intelligence Analyst,130800,USD,130800,US,100,US,M,Network Security,None,2022-03-03,93,Bachelor's Degree,Low,Stable,Experienced,Moderate
63,2022,MI,FT,DevSecOps Engineer,80000,GBP,102646,GB,100,GB,M,None,CISSP,2022-03-04,60,Bachelor's Degree,High,Declining,Mixed,Slow
64,2022,MI,FT,DevSecOps Engineer,60000,GBP,76985,GB,100,GB,M,"Python, Security+",CEH,2022-03-05,63,Experience-Based,Medium,Stable,Entry-Level,Slow
65,2022,MI,FT,Security Analyst,114000,USD,114000,US,0,US,L,"Python, Security+",None,2022-03-06,33,Master's Degree,Low,Stable,Mixed,Slow
66,2022,SE,FT,Security Engineer,207000,USD,207000,US,100,US,M,Network Security,AWS Security,2022-03-07,75,Bachelor's Degree,High,Growing,Experienced,Moderate
67,2022,SE,FT,Security Engineer,153000,USD,153000,US,100,US,M,"Python, Security+",CEH,2022-03-08,81,Experience-Based,Medium,Stable,Entry-Level,Fast
68,2022,SE,FT,Security Incident Response Engineer,245000,USD,245000,US,100,US,L,"Python, Security+",AWS Security,2022-03-09,22,Bachelor's Degree,Medium,Growing,Experienced,Moderate
69,2022,SE,FT,IT Security Analyst,98000,USD,98000,US,50,US,L,Network Security,None,2022-03-10,6,Master's Degree,Medium,Declining,Entry-Level,Slow
70,2022,SE,FT,Security Engineer,220100,USD,220100,US,100,US,M,Network Security,AWS Security,2022-03-11,12,Master's Degree,Low,Stable,Mixed,Fast
71,2022,SE,FT,Security Engineer,176080,USD,176080,US,100,US,M,"AWS, Kubernetes",CISSP,2022-03-12,79,Master's Degree,Low,Stable,Entry-Level,Moderate
72,2022,SE,FT,Security Engineer,226400,USD,226400,US,100,US,L,None,AWS Security,2022-03-13,58,Bachelor's Degree,Medium,Stable,Experienced,Slow
73,2022,SE,FT,Security Engineer,124300,USD,124300,US,100,US,L,None,CEH,2022-03-14,42,Certification Only,Low,Growing,Entry-Level,Moderate
74,2022,SE,FT,IT Security Engineer,145000,USD,145000,US,100,US,L,"Python, Security+",AWS Security,2022-03-15,52,Bachelor's Degree,High,Growing,Entry-Level,Fast
75,2022,EX,FT,Cloud Security Engineering Manager,50000,USD,50000,CL,100,CL,M,None,AWS Security,2022-03-16,31,Certification Only,Medium,Stable,Mixed,Slow
76,2022,EN,FT,Application Security Analyst,50000,EUR,54129,CH,50,CH,M,"Python, Security+",CISSP,2022-03-17,24,Master's Degree,Medium,Stable,Experienced,Moderate
77,2022,EN,FT,Data Security Analyst,50000,USD,50000,US,100,US,L,"AWS, Kubernetes",AWS Security,2022-03-18,16,Experience-Based,Low,Declining,Entry-Level,Fast
78,2022,EN,FT,Data Security Analyst,50000,USD,50000,US,100,US,L,Network Security,AWS Security,2022-03-19,47,Certification Only,Medium,Declining,Mixed,Fast
79,2022,MI,FT,Detection Engineer,40000,EUR,43303,ES,50,ES,L,Network Security,None,2022-03-20,65,Master's Degree,High,Declining,Entry-Level,Moderate
80,2022,SE,FT,Security Specialist,238200,USD,238200,US,100,US,L,Network Security,None,2022-03-21,35,Master's Degree,Low,Declining,Experienced,Fast
81,2022,SE,FT,Security Specialist,176100,USD,176100,US,100,US,L,None,CEH,2022-03-22,95,Certification Only,Low,Declining,Entry-Level,Slow
82,2022,SE,FT,Security Engineer,181940,USD,181940,US,100,US,M,"AWS, Kubernetes",None,2022-03-23,65,Experience-Based,Medium,Growing,Entry-Level,Fast
83,2022,SE,FT,Security Engineer,132000,USD,132000,US,100,US,M,None,None,2022-03-24,78,Master's Degree,Medium,Declining,Entry-Level,Moderate
84,2022,SE,FT,Security Engineer,186000,USD,186000,US,100,US,M,None,None,2022-03-25,71,Certification Only,Medium,Declining,Entry-Level,Slow
85,2022,SE,FT,Security Engineer,148800,USD,148800,US,100,US,M,"AWS, Kubernetes",None,2022-03-26,95,Experience-Based,Low,Stable,Experienced,Fast
86,2022,SE,FT,Detection Engineer,252000,USD,252000,US,100,US,M,"AWS, Kubernetes",CISSP,2022-03-27,39,Experience-Based,Medium,Growing,Mixed,Fast
87,2022,SE,FT,Detection Engineer,145000,USD,145000,US,100,US,M,"AWS, Kubernetes",None,2022-03-28,99,Master's Degree,High,Declining,Mixed,Slow
88,2022,EX,FT,Chief Information Security Officer,236000,USD,236000,US,100,US,L,"AWS, Kubernetes",CISSP,2022-03-29,19,Bachelor's Degree,Medium,Declining,Entry-Level,Slow
89,2021,EN,FT,Cyber Security Analyst,12000,SGD,8929,SG,0,SG,M,Network Security,CISSP,2022-03-30,20,Bachelor's Degree,Medium,Declining,Experienced,Fast
90,2022,SE,FT,Principal Security Engineer,167000,USD,167000,US,100,US,M,"Azure, SOC",None,2022-03-31,17,Master's Degree,Low,Stable,Experienced,Slow
91,2022,EX,FT,Head of Information Security,175000,USD,175000,US,100,US,M,"Azure, SOC",AWS Security,2022-04-01,39,Experience-Based,Medium,Stable,Experienced,Moderate
92,2022,EN,FT,IT Security Analyst,70000,AUD,50002,AU,50,AU,L,"AWS, Kubernetes",CISSP,2022-04-02,79,Master's Degree,Low,Stable,Experienced,Fast
93,2022,MI,FT,Information Systems Security Engineer,86500,USD,86500,US,50,US,L,"Azure, SOC",AWS Security,2022-04-03,63,Certification Only,Medium,Declining,Experienced,Moderate
94,2022,MI,FT,Staff Application Security Engineer,120000,EUR,129910,FR,50,FR,L,"Azure, SOC",AWS Security,2022-04-04,25,Bachelor's Degree,High,Stable,Experienced,Fast
95,2022,SE,FT,Security Engineer,200100,USD,200100,US,100,US,M,"AWS, Kubernetes",None,2022-04-05,58,Certification Only,High,Declining,Entry-Level,Moderate
96,2022,SE,FT,Security Engineer,160080,USD,160080,US,100,US,M,"Azure, SOC",CEH,2022-04-06,79,Master's Degree,Low,Growing,Mixed,Moderate
97,2022,SE,FT,Security Engineer,165400,USD,165400,US,100,US,M,None,None,2022-04-07,34,Master's Degree,Low,Declining,Mixed,Slow
98,2022,SE,FT,Security Engineer,132320,USD,132320,US,100,US,M,"Python, Security+",CEH,2022-04-08,52,Experience-Based,Medium,Stable,Entry-Level,Fast
99,2022,SE,FT,Security Specialist,207800,USD,207800,US,100,US,L,"Python, Security+",CEH,2022-04-09,39,Experience-Based,Medium,Growing,Mixed,Slow
100,2022,SE,FT,Security Specialist,153600,USD,153600,US,100,US,L,"AWS, Kubernetes",None,2022-04-10,90,Experience-Based,High,Declining,Experienced,Slow
101,2021,EN,FT,Information Security Engineer,25000,EUR,29551,IT,100,IT,S,Network Security,None,2022-04-11,42,Certification Only,Medium,Growing,Experienced,Fast
102,2021,MI,FT,Information Security Analyst,88000,USD,88000,US,100,US,L,"AWS, Kubernetes",CEH,2022-04-12,35,Experience-Based,High,Growing,Mixed,Moderate
103,2022,EX,FT,Information Security Compliance Manager,180000,USD,180000,US,100,US,L,Network Security,None,2022-04-13,82,Master's Degree,Low,Growing,Experienced,Fast
104,2022,SE,FT,Security Engineer,210000,USD,210000,CA,100,CA,M,"Python, Security+",CEH,2022-04-14,28,Experience-Based,Medium,Declining,Experienced,Fast
105,2022,SE,FT,Security Engineer,160000,USD,160000,CA,100,CA,M,"AWS, Kubernetes",AWS Security,2022-04-15,53,Bachelor's Degree,Low,Stable,Mixed,Fast
106,2022,SE,FT,Vulnerability Management Engineer,250600,USD,250600,US,100,US,M,None,None,2022-04-16,36,Experience-Based,Medium,Declining,Entry-Level,Slow
107,2022,SE,FT,Vulnerability Management Engineer,118100,USD,118100,US,100,US,M,"Azure, SOC",AWS Security,2022-04-17,59,Certification Only,High,Stable,Mixed,Fast
108,2022,SE,FT,Security Engineer,105800,USD,105800,US,100,US,M,Network Security,CISSP,2022-04-18,83,Bachelor's Degree,Low,Declining,Mixed,Fast
109,2022,SE,FT,Security Engineer,81600,USD,81600,US,100,US,M,"Azure, SOC",AWS Security,2022-04-19,62,Bachelor's Degree,Low,Declining,Mixed,Fast
110,2022,EN,FT,Security Analyst,140000,USD,140000,US,100,US,L,"Azure, SOC",AWS Security,2022-04-20,7,Bachelor's Degree,Medium,Declining,Mixed,Moderate
111,2022,SE,FT,Information Security Officer,267840,USD,267840,US,100,US,M,"AWS, Kubernetes",CEH,2022-04-21,84,Certification Only,Low,Stable,Entry-Level,Moderate
112,2022,SE,FT,Information Security Officer,214056,USD,214056,US,100,US,M,"Azure, SOC",AWS Security,2022-04-22,73,Master's Degree,High,Declining,Entry-Level,Moderate
113,2022,SE,FT,Security Researcher,240000,CAD,188282,CA,100,US,L,None,None,2022-04-23,89,Experience-Based,Low,Growing,Experienced,Moderate
114,2022,MI,FT,Head of Information Security,107000,GBP,137290,GB,100,GB,M,"Azure, SOC",CEH,2022-04-24,14,Bachelor's Degree,Low,Declining,Experienced,Slow
115,2022,MI,FT,Head of Information Security,92000,GBP,118043,GB,100,GB,M,"AWS, Kubernetes",CISSP,2022-04-25,87,Bachelor's Degree,Medium,Growing,Mixed,Slow
116,2022,EN,CT,Cyber Security Analyst,80000,USD,80000,US,100,US,L,None,None,2022-04-26,29,Bachelor's Degree,Low,Stable,Experienced,Fast
117,2022,EN,CT,Cyber Security Analyst,60000,USD,60000,US,100,US,L,"Python, Security+",CISSP,2022-04-27,72,Master's Degree,Medium,Stable,Entry-Level,Slow
118,2022,EN,FT,Cyber Security Analyst,60000,USD,60000,US,100,US,L,"Azure, SOC",AWS Security,2022-04-28,65,Master's Degree,Medium,Declining,Experienced,Moderate
119,2022,EN,FT,Azure Security Engineer,60000,USD,60000,US,100,US,L,"AWS, Kubernetes",None,2022-04-29,33,Certification Only,Low,Declining,Experienced,Fast
120,2022,EN,FT,Azure Security Engineer,60000,USD,60000,US,100,US,S,"Python, Security+",None,2022-04-30,23,Master's Degree,High,Declining,Experienced,Fast
121,2021,EN,FT,Cyber Security Analyst,115000,USD,115000,US,100,US,M,"Python, Security+",CISSP,2022-05-01,47,Experience-Based,Medium,Growing,Mixed,Moderate
122,2021,EN,FT,Security Consultant,750000,INR,10142,IN,50,IN,L,Network Security,None,2022-05-02,70,Certification Only,Low,Stable,Experienced,Moderate
123,2022,MI,FT,Security Operations Analyst,80000,GBP,102646,GB,100,GB,M,None,None,2022-05-03,78,Certification Only,Medium,Growing,Entry-Level,Moderate
124,2022,MI,FT,Security Operations Analyst,55000,GBP,70569,GB,100,GB,M,"Azure, SOC",None,2022-05-04,65,Experience-Based,High,Growing,Entry-Level,Slow
125,2022,MI,FT,Security Engineer,170000,USD,170000,AU,0,AU,M,"AWS, Kubernetes",AWS Security,2022-05-05,47,Experience-Based,High,Declining,Entry-Level,Fast
126,2022,MI,FT,Security Engineer,140000,USD,140000,AU,0,AU,M,Network Security,CISSP,2022-05-06,29,Experience-Based,Medium,Declining,Entry-Level,Moderate
127,2022,SE,FT,Cyber Security Engineer,175000,USD,175000,US,0,US,S,None,None,2022-05-07,24,Certification Only,High,Growing,Experienced,Fast
128,2022,EX,FT,Director of Information Security,180000,USD,180000,US,100,US,L,Network Security,CEH,2022-05-08,52,Certification Only,Low,Growing,Mixed,Fast
129,2022,MI,FT,Information Security Engineer,101000,USD,101000,US,100,US,L,None,CEH,2022-05-09,87,Certification Only,Low,Declining,Entry-Level,Slow
130,2022,MI,FT,IT Security Engineer,101000,USD,101000,US,100,US,L,None,CEH,2022-05-10,91,Experience-Based,Medium,Declining,Entry-Level,Fast
131,2022,SE,FT,DevOps Security Engineer,175000,USD,175000,US,100,US,L,"Azure, SOC",CEH,2022-05-11,28,Experience-Based,High,Growing,Mixed,Moderate
132,2022,MI,FT,Cyber Security Analyst,97500,USD,97500,US,100,US,L,None,AWS Security,2022-05-12,15,Bachelor's Degree,Low,Declining,Mixed,Moderate
133,2022,EN,FT,Cyber Security Analyst,67000,USD,67000,US,100,US,L,Network Security,None,2022-05-13,59,Master's Degree,Low,Declining,Entry-Level,Fast
134,2022,SE,FT,Security Engineer,124600,USD,124600,US,100,US,M,None,CISSP,2022-05-14,32,Bachelor's Degree,Low,Growing,Entry-Level,Fast
135,2022,SE,FT,Security Engineer,96000,USD,96000,US,100,US,M,"Azure, SOC",None,2022-05-15,73,Experience-Based,Medium,Growing,Mixed,Slow
136,2022,SE,FT,Detection Engineer,292000,USD,292000,GB,100,GB,M,"Azure, SOC",AWS Security,2022-05-16,67,Certification Only,Medium,Stable,Entry-Level,Moderate
137,2022,SE,FT,Detection Engineer,170000,USD,170000,GB,100,GB,M,Network Security,CEH,2022-05-17,63,Experience-Based,Low,Growing,Entry-Level,Moderate
138,2022,MI,FT,Security Engineer,160000,USD,160000,AU,0,AU,M,"Python, Security+",AWS Security,2022-05-18,9,Master's Degree,Low,Declining,Experienced,Fast
139,2022,MI,FT,Security Engineer,140000,USD,140000,AU,0,AU,M,"Python, Security+",None,2022-05-19,55,Bachelor's Degree,High,Growing,Mixed,Fast
140,2022,SE,FT,Penetration Tester,180000,USD,180000,US,100,US,M,None,CISSP,2022-05-20,25,Bachelor's Degree,High,Growing,Experienced,Fast
141,2022,SE,FT,Penetration Tester,140000,USD,140000,US,100,US,M,"AWS, Kubernetes",AWS Security,2022-05-21,16,Certification Only,High,Growing,Experienced,Moderate
142,2022,SE,FT,Security Engineer,245000,USD,245000,US,0,US,M,None,CISSP,2022-05-22,54,Bachelor's Degree,Medium,Stable,Mixed,Fast
143,2022,SE,FT,Security Engineer,190000,USD,190000,US,0,US,M,Network Security,AWS Security,2022-05-23,8,Bachelor's Degree,Low,Stable,Experienced,Slow
144,2022,SE,FT,Security Engineer,226400,USD,226400,US,100,US,L,Network Security,CISSP,2022-05-24,46,Experience-Based,Medium,Declining,Entry-Level,Slow
145,2022,SE,FT,Security Engineer,124300,USD,124300,US,100,US,L,Network Security,CISSP,2022-05-25,88,Bachelor's Degree,Low,Stable,Experienced,Fast
146,2022,EN,FT,Security Analyst,63000,CAD,49424,CA,100,CA,S,Network Security,CEH,2022-05-26,42,Bachelor's Degree,High,Growing,Mixed,Slow
147,2022,EN,FT,SOC Analyst,91600,USD,91600,US,100,US,L,Network Security,CISSP,2022-05-27,29,Bachelor's Degree,High,Stable,Entry-Level,Slow
148,2022,MI,FT,Cloud Security Engineer,165000,USD,165000,US,50,US,L,"Azure, SOC",CEH,2022-05-28,18,Certification Only,High,Growing,Entry-Level,Slow
149,2022,SE,FT,Security Specialist,160000,USD,160000,US,100,US,L,"Python, Security+",None,2022-05-29,79,Certification Only,High,Stable,Entry-Level,Slow
150,2022,SE,FT,Security Specialist,92400,USD,92400,US,100,US,L,Network Security,None,2022-05-30,36,Experience-Based,Low,Stable,Entry-Level,Slow
151,2022,SE,FT,Threat Intelligence Analyst,103000,USD,103000,US,100,US,L,"AWS, Kubernetes",CEH,2022-05-31,15,Bachelor's Degree,High,Stable,Experienced,Moderate
152,2022,SE,FT,Security Engineer,154000,USD,154000,US,100,US,M,"AWS, Kubernetes",CEH,2022-06-01,65,Certification Only,Low,Growing,Experienced,Fast
153,2022,SE,FT,Security Engineer,139000,USD,139000,US,100,US,M,"AWS, Kubernetes",AWS Security,2022-06-02,22,Certification Only,Low,Stable,Entry-Level,Slow
154,2022,EX,FT,Security Officer,160000,USD,160000,US,100,US,M,"AWS, Kubernetes",AWS Security,2022-06-03,31,Experience-Based,Medium,Growing,Mixed,Fast
155,2022,EX,FT,Security Officer,120000,USD,120000,US,100,US,M,"Azure, SOC",AWS Security,2022-06-04,59,Master's Degree,High,Growing,Entry-Level,Slow
156,2022,MI,FT,Penetration Tester,50000,GBP,64154,GB,50,GB,M,"AWS, Kubernetes",None,2022-06-05,58,Bachelor's Degree,High,Declining,Experienced,Moderate
157,2022,SE,FT,Security Engineer,82900,USD,82900,US,100,US,M,Network Security,AWS Security,2022-06-06,86,Certification Only,Medium,Stable,Entry-Level,Moderate
158,2022,SE,FT,Security Engineer,63900,USD,63900,US,100,US,M,None,CISSP,2022-06-07,91,Experience-Based,Low,Declining,Experienced,Slow
159,2022,EN,FT,SOC Analyst,75000,USD,75000,US,100,US,L,"AWS, Kubernetes",CISSP,2022-06-08,79,Experience-Based,High,Declining,Entry-Level,Slow
160,2022,EN,FT,SOC Analyst,75000,USD,75000,US,100,US,L,"Azure, SOC",AWS Security,2022-06-09,25,Experience-Based,Low,Growing,Mixed,Slow
161,2022,MI,FT,Security Analyst,89000,USD,89000,US,0,US,L,"Azure, SOC",CISSP,2022-06-10,48,Certification Only,Medium,Stable,Entry-Level,Moderate
162,2022,MI,FT,Security Analyst,68462,USD,68462,US,0,US,L,"AWS, Kubernetes",None,2022-06-11,9,Bachelor's Degree,Low,Growing,Mixed,Moderate
163,2022,MI,FT,Security Engineer,72500,USD,72500,US,100,JP,L,None,CISSP,2022-06-12,91,Master's Degree,High,Growing,Mixed,Fast
164,2022,SE,FT,Security Engineer,276900,USD,276900,US,100,US,M,"AWS, Kubernetes",None,2022-06-13,45,Bachelor's Degree,Low,Stable,Entry-Level,Moderate
165,2022,SE,FT,Security Engineer,168400,USD,168400,US,100,US,M,"Azure, SOC",CEH,2022-06-14,63,Experience-Based,Low,Growing,Mixed,Slow
166,2022,SE,FT,Security Engineer,105800,USD,105800,US,0,US,M,"Python, Security+",CEH,2022-06-15,93,Experience-Based,High,Stable,Mixed,Fast
167,2022,SE,FT,Security Engineer,81600,USD,81600,US,0,US,M,Network Security,CEH,2022-06-16,58,Master's Degree,High,Stable,Experienced,Moderate
